,item,codigo_seg,empresa,ubicacion,equipo,codigo,fecha_inic,fecha_fin,descripcion,mw_indispo,indispo,tipo_mantto,programacion
1687,1688,C217712023053012245979A,COLCA SOLAR S.A.C.,CENTRAL SOLAR YARUCAYA,CENTRAL,21771,2023-07-10 07:00:00,2023-07-10 22:00:00,"INSPECCIÓN, LIMPIEZA DE INVERSORES Y ESTACIÓN METEOROLÓGICA EN LA CENTRAL SOLAR (INCLUYE PRUEBAS DE RELES), CONDICIONADO AL MANTENIMIENTO DE LA LÍNEA L-6670 (HUACHO - ANDAHUASI) PROPIEDAD DE ADINELSA.",1.3,F/S,NO,MANTENIMIENTO PREVENTIVO
6672,6673,C134022023053012247146A,MAJES ARCUS S.A.C.,MAJES SOLAR 20T,CENTRAL,13402,2023-10-15 08:00:00,2023-10-15 18:00:00,CENTRAL FUERA DE SERVICIO POR TRABAJOS EN L-1029 A SOLICITUD DE REP.,0.0,F/S,NO,OTROS
10422,10423,C133992023053012242012A,REPARTICIÓN ARCUS S.A.C.,REPARTICION SOLAR 20T,CENTRAL,13399,2023-10-15 08:00:00,2023-10-15 18:00:00,CENTRAL FUERA DE SERVICIO POR TRABAJOS EN L-1029 A SOLICITUD DE REP.,0.0,F/S,NO,OTROS
